package,version,architecture,filename,size,mode,owner,group,md5,sha1,sha256
libaccessodf-java,0.1.1~b-1,all,./usr/share/java/accessodf-api-0.1.0.jar,16345,420,root,root,a73c04dc5c25b1a937f861aee4ea8ac3,489e437e37168956d65d1d7f3c1b936c4203c1f1,
libaccessodf-java,0.1.1~b-1,all,./usr/share/java/accessodf-api-0.1.0-SNAPSHOT.jar,16345,420,root,root,a73c04dc5c25b1a937f861aee4ea8ac3,489e437e37168956d65d1d7f3c1b936c4203c1f1,
libaccessodf-java,0.1.1~b-1,all,./usr/share/maven-repo/be/docarch/accessodf-addon/debian/accessodf-addon-debian.pom,1274,420,root,root,e5e2060ee37d54289cadb635c9fc59d0,3011f60a86245af0cd800cf3657a697d4ecf2067,
libaccessodf-java,0.1.1~b-1,all,./usr/share/maven-repo/be/docarch/accessodf-addon/0.1.0-SNAPSHOT/accessodf-addon-0.1.0-SNAPSHOT.pom,1282,420,root,root,4414c8a3725b11bc3d1a109df9b02fe6,e5617fb1f56e55acfef70796413482cf83461c96,
libaccessodf-java,0.1.1~b-1,all,./usr/share/maven-repo/be/docarch/accessodf-api/debian/accessodf-api-debian.pom,723,420,root,root,f6c1cf4bafce1f7e6a624f2cf3074700,f464b9d9fccbcd72b6b2ed8e32af068592ccc97b,
libaccessodf-java,0.1.1~b-1,all,./usr/share/maven-repo/be/docarch/accessodf-api/0.1.0-SNAPSHOT/accessodf-api-0.1.0-SNAPSHOT.pom,731,420,root,root,4fc278605b223cd0f3973a9099c6d7dc,11f5016e88b1bb15d22b3cd99bd8497063a9d3cd,
libaccessodf-java,0.1.1~b-1,all,./usr/share/maven-repo/be/docarch/accessodf/debian/accessodf-debian.pom,2854,420,root,root,149ae8b437fe72c4625ff7990b0a4916,4253a9876f38d72286b3b01e64e5874c815e06e5,
libaccessodf-java,0.1.1~b-1,all,./usr/share/maven-repo/be/docarch/accessodf/0.1.0-SNAPSHOT/accessodf-0.1.0-SNAPSHOT.pom,2862,420,root,root,65512a7f2711ed07ae83d11ce845c628,85494d3a6592bc5687bfbd3bcde5beca49628124,
libaccessodf-java,0.1.1~b-1,all,./usr/share/doc/libaccessodf-java/README.Debian,368,420,root,root,37ec8a617c45d167121a927ac495ba44,f8462f32347b42456142869fd844fe10b9f9adc6,
libaccessodf-java,0.1.1~b-1,all,./usr/share/doc/libaccessodf-java/changelog.Debian.gz,1078,420,root,root,9593ebe722a94445c6ecb677dcf74613,51325d57dee80d46271c353a84ec84f2bc8cbd85,
libaccessodf-java,0.1.1~b-1,all,./usr/share/doc/libaccessodf-java/copyright,590,420,root,root,eb24ca3cacb6999e17c33424abce740e,9531243f00caf95aa63b4ce553434c8ebbc4a324,
aaphoto,0.45-1,amd64,./usr/bin/aaphoto,79872,493,root,root,682ac88f623e0904d86f466f49f6df5a,0009cd6dabf207892b25dc35fe53e86df8b5c374,
aaphoto,0.45-1,amd64,./usr/share/doc/aaphoto/NEWS.gz,102,420,root,root,7df36177780fb529c7698221c3880087,59355b5636fd3a36b29a693f116191c6c082497e,
aaphoto,0.45-1,amd64,./usr/share/doc/aaphoto/README,3696,420,root,root,9f3bfaa1bda633090a361ad222732ae5,5aac5dbbb3b53c2aab016fbb68a8437228996a9c,
aaphoto,0.45-1,amd64,./usr/share/doc/aaphoto/TODO,892,420,root,root,774aff722c913625e31cbb96695a9734,7bb84d021c5e48de8bed059415a04fb11b14e4b8,
aaphoto,0.45-1,amd64,./usr/share/doc/aaphoto/changelog.Debian.gz,1587,420,root,root,8ca78352002b77f6e28e966fa20a8d0b,46576aefecff34eddd233db0cd5375c13975dc89,
aaphoto,0.45-1,amd64,./usr/share/doc/aaphoto/changelog.gz,4509,420,root,root,37c2d2a3952b51e4eba4d0159b399153,b80e367dac1905e95ea1eaf016566963f5fe2018,
aaphoto,0.45-1,amd64,./usr/share/doc/aaphoto/copyright,1383,420,root,root,eff1f2531456823340671be366ba5908,9d0b43b807c770d21fc24f8b6f35dab042b0be1d,
aaphoto,0.45-1,amd64,./usr/share/man/man1/aaphoto.1.gz,1927,420,root,root,6c4f2e444c6bcf58479be63fc8486eba,ff57cb7ea7bc8d647ef3085537500c770afecb03,
abicheck,1.2-5,all,./usr/bin/abicheck,88822,493,root,root,c6ec0f0a0910c4f8524221953cbb99b6,b59d64850c5b50ccb61c7e4f8a43c7507de471f7,
abicheck,1.2-5,all,./usr/share/doc/abicheck/README,3891,420,root,root,30018736a0bdb6341e6b069eedce7848,a1a7c463243c791b1453e85e7196c0f28ddff267,
abicheck,1.2-5,all,./usr/share/doc/abicheck/copyright,409,420,root,root,92e3f7da972cf7116bb7824e0e30fe2d,0e8510d020ff8fc9f99d212bf7f2b08c9077b51e,
abicheck,1.2-5,all,./usr/share/doc/abicheck/changelog.Debian.gz,790,420,root,root,571f11b31a76af86690d0d0442164812,e5deb64212b37aee2cdaa46bb3eda5d885fed5c7,
abicheck,1.2-5,all,./usr/share/man/man1/abicheck.1.gz,4818,420,root,root,4e970c57fcbf036eed5624908bf26a0d,dc980a39c4eec1a8e0567254d3c5112c5b517f54,
9wm,1.4.1-1,amd64,./usr/bin/9wm,44760,493,root,root,a7ab95be9414013120f91cabc27a2f1c,baf5b44a838c679e3db8f943cf31c9d509589062,
